Signature alg, Msg size, real, user, sys
aria-192-cbc, 100M, 1b, 0.88, 0.66, 0.12
aria-192-cfb, 100M, 1b, 0.86, 0.69, 0.08
aria-192-cfb1, 100M, 1b, 97.76, 97.32, 0.24
aria-192-cfb8, 100M, 1b, 11.12, 10.82, 0.17
aria-192-ctr, 100M, 1b, 0.90, 0.72, 0.07
aria-192-ecb, 100M, 1b, 0.85, 0.60, 0.14
aria-192-ofb, 100M, 1b, 0.85, 0.60, 0.14
aria-256-cbc, 100M, 1b, 0.98, 0.76, 0.11
aria-256-cfb, 100M, 1b, 0.97, 0.79, 0.07
aria-256-cfb1, 100M, 1b, 111.49, 110.44, 0.38
aria-256-cfb8, 100M, 1b, 12.16, 11.97, 0.14
aria-256-ctr, 100M, 1b, 1.00, 0.73, 0.13
aria-256-ecb, 100M, 1b, 0.92, 0.72, 0.10
aria-256-ofb, 100M, 1b, 0.97, 0.73, 0.10
base64, 100M, 1b, 0.38, 0.06, 0.14
bf, 100M, 1b, 0.86, 0.57, 0.11
bf-cbc, 100M, 1b, 0.90, 0.59, 0.09
bf-cfb, 100M, 1b, 0.98, 0.70, 0.08
bf-ecb, 100M, 1b, 0.89, 0.50, 0.11
bf-ofb, 100M, 1b, 0.81, 0.54, 0.10
camellia-128-cbc, 100M, 1b, 0.65, 0.38, 0.11
camellia-128-ecb, 100M, 1b, 0.63, 0.38, 0.13
camellia-192-cbc, 100M, 1b, 0.76, 0.54, 0.10
camellia-192-ecb, 100M, 1b, 0.78, 0.52, 0.12
camellia-256-cbc, 100M, 1b, 0.77, 0.53, 0.10
camellia-256-ecb, 100M, 1b, 0.78, 0.56, 0.07
cast, 100M, 1b, 0.90, 0.63, 0.09
cast-cbc, 100M, 1b, 0.85, 0.62, 0.09
cast5-cbc, 100M, 1b, 0.87, 0.60, 0.13
cast5-cfb, 100M, 1b, 1.03, 0.81, 0.08
cast5-ecb, 100M, 1b, 0.80, 0.58, 0.11
cast5-ofb, 100M, 1b, 0.86, 0.66, 0.07
des, 100M, 1b, 1.29, 1.02, 0.14
des-cbc, 100M, 1b, 1.29, 0.99, 0.16
des-cfb, 100M, 1b, 1.42, 1.21, 0.10
des-ecb, 100M, 1b, 1.29, 1.01, 0.12
des-ede, 100M, 1b, 2.93, 2.71, 0.10
des-ede-cbc, 100M, 1b, 2.98, 2.80, 0.06
des-ede-cfb, 100M, 1b, 3.14, 2.96, 0.10
des-ede-ofb, 100M, 1b, 2.97, 2.75, 0.11
des-ede3, 100M, 1b, 2.95, 2.76, 0.07
des-ede3-cbc, 100M, 1b, 3.08, 2.84, 0.12
des-ede3-cfb, 100M, 1b, 3.14, 2.90, 0.12
des-ede3-ofb, 100M, 1b, 3.08, 2.84, 0.09
des-ofb, 100M, 1b, 1.34, 0.97, 0.19
des3, 100M, 1b, 3.05, 2.78, 0.10
desx, 100M, 1b, 1.33, 1.05, 0.11
rc2, 100M, 1b, 1.90, 1.66, 0.10
rc2-40-cbc, 100M, 1b, 1.81, 1.54, 0.16
rc2-64-cbc, 100M, 1b, 1.85, 1.58, 0.12
rc2-cbc, 100M, 1b, 1.79, 1.57, 0.10
rc2-cfb, 100M, 1b, 1.86, 1.72, 0.06
rc2-ecb, 100M, 1b, 1.76, 1.54, 0.10
rc2-ofb, 100M, 1b, 1.77, 1.52, 0.13
rc4, 100M, 1b, 0.39, 0.16, 0.08
rc4-40, 100M, 1b, 0.40, 0.18, 0.06
seed, 100M, 1b, 1.11, 0.86, 0.11
seed-cbc, 100M, 1b, 1.11, 0.90, 0.08
seed-cfb, 100M, 1b, 1.17, 0.86, 0.13
seed-ecb, 100M, 1b, 1.13, 0.86, 0.10
seed-ofb, 100M, 1b, 1.13, 0.84, 0.15
sm4-cbc, 100M, 1b, 0.92, 0.72, 0.09
sm4-cfb, 100M, 1b, 0.90, 0.66, 0.12
sm4-ctr, 100M, 1b, 1.28, 0.68, 0.13
sm4-ecb, 100M, 1b, 0.89, 0.64, 0.11
sm4-ofb, 100M, 1b, 0.90, 0.64, 0.12
aes-128-cbc, 100M, 1K, 0.28, 0.07, 0.08
aes-128-ecb, 100M, 1K, 0.24, 0.00, 0.11
aes-192-cbc, 100M, 1K, 0.35, 0.09, 0.08
aes-192-ecb, 100M, 1K, 0.32, 0.03, 0.08
aes-256-cbc, 100M, 1K, 0.36, 0.10, 0.08
aes-256-ecb, 100M, 1K, 0.34, 0.03, 0.08
aria-128-cbc, 100M, 1K, 0.86, 0.59, 0.08
aria-128-cfb, 100M, 1K, 0.87, 0.52, 0.14
aria-128-cfb1, 100M, 1K, 85.36, 85.03, 0.19
aria-128-cfb8, 100M, 1K, 9.38, 9.15, 0.12
aria-128-ctr, 100M, 1K, 0.77, 0.53, 0.16
aria-128-ecb, 100M, 1K, 0.75, 0.54, 0.10
aria-128-ofb, 100M, 1K, 0.75, 0.57, 0.08
aria-192-cbc, 100M, 1K, 0.86, 0.65, 0.11
aria-192-cfb, 100M, 1K, 0.86, 0.66, 0.09
aria-192-cfb1, 100M, 1K, 96.80, 96.44, 0.20
aria-192-cfb8, 100M, 1K, 10.81, 10.60, 0.10
aria-192-ctr, 100M, 1K, 0.88, 0.67, 0.10
aria-192-ecb, 100M, 1K, 0.83, 0.62, 0.10
aria-192-ofb, 100M, 1K, 0.84, 0.63, 0.10
aria-256-cbc, 100M, 1K, 0.96, 0.75, 0.10
aria-256-cfb, 100M, 1K, 0.95, 0.76, 0.09
aria-256-cfb1, 100M, 1K, 107.71, 107.37, 0.17
aria-256-cfb8, 100M, 1K, 12.25, 11.95, 0.11
aria-256-ctr, 100M, 1K, 1.16, 0.75, 0.11
aria-256-ecb, 100M, 1K, 0.97, 0.67, 0.14
aria-256-ofb, 100M, 1K, 1.02, 0.68, 0.15
base64, 100M, 1K, 0.39, 0.06, 0.13
bf, 100M, 1K, 0.88, 0.60, 0.09
bf-cbc, 100M, 1K, 0.87, 0.62, 0.08
bf-cfb, 100M, 1K, 1.09, 0.71, 0.10
bf-ecb, 100M, 1K, 0.74, 0.50, 0.11
bf-ofb, 100M, 1K, 0.76, 0.57, 0.07
camellia-128-cbc, 100M, 1K, 0.63, 0.37, 0.13
camellia-128-ecb, 100M, 1K, 0.63, 0.38, 0.12
camellia-192-cbc, 100M, 1K, 0.74, 0.53, 0.11
camellia-192-ecb, 100M, 1K, 0.75, 0.51, 0.13
camellia-256-cbc, 100M, 1K, 1.04, 0.56, 0.08
camellia-256-ecb, 100M, 1K, 0.77, 0.57, 0.09
cast, 100M, 1K, 0.86, 0.66, 0.09
cast-cbc, 100M, 1K, 0.86, 0.64, 0.10
cast5-cbc, 100M, 1K, 0.85, 0.63, 0.11
cast5-cfb, 100M, 1K, 1.00, 0.78, 0.13
cast5-ecb, 100M, 1K, 0.80, 0.55, 0.14
cast5-ofb, 100M, 1K, 1.07, 0.65, 0.08
des, 100M, 1K, 1.28, 1.08, 0.08
des-cbc, 100M, 1K, 1.73, 1.25, 0.15
des-cfb, 100M, 1K, 1.59, 1.27, 0.19
des-ecb, 100M, 1K, 1.29, 1.05, 0.11
des-ede, 100M, 1K, 3.05, 2.74, 0.14
des-ede-cbc, 100M, 1K, 3.17, 2.87, 0.10
des-ede-cfb, 100M, 1K, 3.29, 3.00, 0.11
des-ede-ofb, 100M, 1K, 3.18, 2.85, 0.11
des-ede3, 100M, 1K, 3.06, 2.75, 0.11
des-ede3-cbc, 100M, 1K, 3.22, 2.89, 0.11
des-ede3-cfb, 100M, 1K, 3.30, 2.99, 0.13
des-ede3-ofb, 100M, 1K, 3.00, 2.82, 0.13
des-ofb, 100M, 1K, 1.26, 1.04, 0.12
des3, 100M, 1K, 3.02, 2.73, 0.15
desx, 100M, 1K, 1.32, 1.05, 0.10
rc2, 100M, 1K, 1.88, 1.54, 0.11
rc2-40-cbc, 100M, 1K, 1.83, 1.58, 0.07
rc2-64-cbc, 100M, 1K, 1.81, 1.55, 0.12
rc2-cbc, 100M, 1K, 1.95, 1.58, 0.11
rc2-cfb, 100M, 1K, 1.99, 1.75, 0.11
rc2-ecb, 100M, 1K, 1.83, 1.52, 0.12
rc2-ofb, 100M, 1K, 1.80, 1.51, 0.13
rc4, 100M, 1K, 0.42, 0.10, 0.14
rc4-40, 100M, 1K, 0.39, 0.10, 0.14
seed, 100M, 1K, 1.06, 0.85, 0.10
seed-cbc, 100M, 1K, 1.20, 0.84, 0.11
seed-cfb, 100M, 1K, 1.06, 0.81, 0.13
seed-ecb, 100M, 1K, 1.03, 0.83, 0.09
seed-ofb, 100M, 1K, 1.03, 0.80, 0.11
sm4-cbc, 100M, 1K, 0.90, 0.66, 0.13
sm4-cfb, 100M, 1K, 0.92, 0.67, 0.14
sm4-ctr, 100M, 1K, 0.94, 0.74, 0.08
sm4-ecb, 100M, 1K, 0.86, 0.62, 0.11
sm4-ofb, 100M, 1K, 0.88, 0.60, 0.14
aes-128-cbc, 100M, 1M, 0.54, 0.05, 0.10
aes-128-ecb, 100M, 1M, 0.24, 0.00, 0.11
aes-192-cbc, 100M, 1M, 0.31, 0.05, 0.11
aes-192-ecb, 100M, 1M, 0.24, 0.01, 0.10
aes-256-cbc, 100M, 1M, 0.32, 0.04, 0.14
aes-256-ecb, 100M, 1M, 0.23, 0.02, 0.10
aria-128-cbc, 100M, 1M, 0.81, 0.58, 0.10
aria-128-cfb, 100M, 1M, 0.83, 0.57, 0.11
aria-128-cfb1, 100M, 1M, 85.81, 85.38, 0.25
aria-128-cfb8, 100M, 1M, 9.40, 9.18, 0.11
aria-128-ctr, 100M, 1M, 0.87, 0.58, 0.11
aria-128-ecb, 100M, 1M, 0.83, 0.55, 0.08
aria-128-ofb, 100M, 1M, 0.81, 0.56, 0.07
aria-192-cbc, 100M, 1M, 0.94, 0.63, 0.13
aria-192-cfb, 100M, 1M, 1.01, 0.66, 0.12
aria-192-cfb1, 100M, 1M, 98.92, 97.00, 0.22
aria-192-cfb8, 100M, 1M, 10.97, 10.65, 0.13
aria-192-ctr, 100M, 1M, 0.98, 0.67, 0.11
aria-192-ecb, 100M, 1M, 0.92, 0.64, 0.10
aria-192-ofb, 100M, 1M, 0.91, 0.62, 0.13
aria-256-cbc, 100M, 1M, 0.98, 0.75, 0.12
aria-256-cfb, 100M, 1M, 1.05, 0.71, 0.14
aria-256-cfb1, 100M, 1M, 111.44, 110.41, 0.35
aria-256-cfb8, 100M, 1M, 12.65, 12.43, 0.15
aria-256-ctr, 100M, 1M, 1.04, 0.73, 0.14
aria-256-ecb, 100M, 1M, 1.04, 0.73, 0.11
aria-256-ofb, 100M, 1M, 1.00, 0.76, 0.07
base64, 100M, 1M, 0.44, 0.06, 0.13
bf, 100M, 1M, 0.87, 0.58, 0.11
bf-cbc, 100M, 1M, 0.95, 0.58, 0.11
bf-cfb, 100M, 1M, 1.10, 0.71, 0.08
bf-ecb, 100M, 1M, 0.83, 0.53, 0.10
bf-ofb, 100M, 1M, 0.82, 0.58, 0.08
camellia-128-cbc, 100M, 1M, 0.69, 0.38, 0.13
camellia-128-ecb, 100M, 1M, 0.70, 0.41, 0.11
camellia-192-cbc, 100M, 1M, 0.81, 0.56, 0.08
camellia-192-ecb, 100M, 1M, 0.84, 0.52, 0.12
camellia-256-cbc, 100M, 1M, 0.78, 0.54, 0.10
camellia-256-ecb, 100M, 1M, 0.79, 0.55, 0.11
cast, 100M, 1M, 0.85, 0.65, 0.08
cast-cbc, 100M, 1M, 0.86, 0.63, 0.09
cast5-cbc, 100M, 1M, 0.88, 0.64, 0.09
cast5-cfb, 100M, 1M, 1.09, 0.77, 0.12
cast5-ecb, 100M, 1M, 0.90, 0.59, 0.11
cast5-ofb, 100M, 1M, 0.93, 0.60, 0.13
des, 100M, 1M, 1.34, 1.02, 0.14
des-cbc, 100M, 1M, 1.38, 1.05, 0.11
des-cfb, 100M, 1M, 1.52, 1.21, 0.10
des-ecb, 100M, 1M, 1.29, 0.98, 0.13
des-ede, 100M, 1M, 3.07, 2.74, 0.12
des-ede-cbc, 100M, 1M, 3.10, 2.85, 0.11
des-ede-cfb, 100M, 1M, 3.43, 2.99, 0.11
des-ede-ofb, 100M, 1M, 3.08, 2.77, 0.12
des-ede3, 100M, 1M, 3.16, 2.83, 0.14
des-ede3-cbc, 100M, 1M, 3.10, 2.86, 0.12
des-ede3-cfb, 100M, 1M, 3.21, 2.96, 0.13
des-ede3-ofb, 100M, 1M, 3.08, 2.82, 0.16
des-ofb, 100M, 1M, 1.30, 1.06, 0.13
des3, 100M, 1M, 3.01, 2.81, 0.11
desx, 100M, 1M, 1.30, 1.08, 0.10
rc2, 100M, 1M, 1.79, 1.60, 0.09
rc2-40-cbc, 100M, 1M, 1.89, 1.63, 0.11
rc2-64-cbc, 100M, 1M, 1.85, 1.60, 0.10
rc2-cbc, 100M, 1M, 1.78, 1.56, 0.12
rc2-cfb, 100M, 1M, 1.88, 1.63, 0.15
rc2-ecb, 100M, 1M, 1.78, 1.57, 0.09
rc2-ofb, 100M, 1M, 1.75, 1.55, 0.09
rc4, 100M, 1M, 0.36, 0.15, 0.10
rc4-40, 100M, 1M, 0.35, 0.13, 0.11
seed, 100M, 1M, 1.11, 0.89, 0.10
seed-cbc, 100M, 1M, 1.09, 0.87, 0.12
seed-cfb, 100M, 1M, 1.14, 0.89, 0.13
seed-ecb, 100M, 1M, 1.14, 0.89, 0.15
seed-ofb, 100M, 1M, 1.11, 0.88, 0.13
sm4-cbc, 100M, 1M, 0.97, 0.68, 0.18
sm4-cfb, 100M, 1M, 1.02, 0.72, 0.08
sm4-ctr, 100M, 1M, 0.92, 0.70, 0.11
sm4-ecb, 100M, 1M, 0.84, 0.62, 0.11
sm4-ofb, 100M, 1M, 0.86, 0.65, 0.10
aes-128-cbc, 100M, 10M, 0.28, 0.09, 0.08
aes-128-ecb, 100M, 10M, 0.22, 0.03, 0.08
aes-192-cbc, 100M, 10M, 0.27, 0.08, 0.09
aes-192-ecb, 100M, 10M, 0.23, 0.02, 0.10
aes-256-cbc, 100M, 10M, 0.32, 0.10, 0.09
aes-256-ecb, 100M, 10M, 0.23, 0.02, 0.10
aria-128-cbc, 100M, 10M, 0.79, 0.56, 0.12
aria-128-cfb, 100M, 10M, 0.79, 0.59, 0.09
aria-128-cfb1, 100M, 10M, 87.08, 86.50, 0.31
aria-128-cfb8, 100M, 10M, 9.58, 9.32, 0.15
aria-128-ctr, 100M, 10M, 0.81, 0.63, 0.08
aria-128-ecb, 100M, 10M, 0.76, 0.53, 0.13
aria-128-ofb, 100M, 10M, 0.77, 0.55, 0.13
aria-192-cbc, 100M, 10M, 0.88, 0.66, 0.15
aria-192-cfb, 100M, 10M, 0.89, 0.68, 0.10
aria-192-cfb1, 100M, 10M, 99.46, 98.95, 0.31
aria-192-cfb8, 100M, 10M, 11.06, 10.81, 0.13
aria-192-ctr, 100M, 10M, 0.93, 0.72, 0.10
aria-192-ecb, 100M, 10M, 0.89, 0.68, 0.08
aria-192-ofb, 100M, 10M, 0.98, 0.70, 0.16
aria-256-cbc, 100M, 10M, 1.09, 0.82, 0.12
aria-256-cfb, 100M, 10M, 1.17, 0.92, 0.13
aria-256-cfb1, 100M, 10M, 112.05, 111.42, 0.39
aria-256-cfb8, 100M, 10M, 12.67, 12.39, 0.16
aria-256-ctr, 100M, 10M, 1.02, 0.81, 0.08
aria-256-ecb, 100M, 10M, 0.99, 0.77, 0.07
aria-256-ofb, 100M, 10M, 1.04, 0.78, 0.11
base64, 100M, 10M, 0.48, 0.09, 0.16
bf, 100M, 10M, 0.98, 0.69, 0.16
bf-cbc, 100M, 10M, 1.03, 0.66, 0.16
bf-cfb, 100M, 10M, 1.31, 0.89, 0.15
bf-ecb, 100M, 10M, 1.00, 0.69, 0.11
bf-ofb, 100M, 10M, 0.94, 0.60, 0.15
camellia-128-cbc, 100M, 10M, 0.72, 0.40, 0.13
camellia-128-ecb, 100M, 10M, 0.71, 0.44, 0.12
camellia-192-cbc, 100M, 10M, 0.80, 0.53, 0.15
camellia-192-ecb, 100M, 10M, 0.80, 0.55, 0.13
camellia-256-cbc, 100M, 10M, 0.78, 0.51, 0.14
camellia-256-ecb, 100M, 10M, 0.94, 0.55, 0.10
cast, 100M, 10M, 0.87, 0.64, 0.08
cast-cbc, 100M, 10M, 0.88, 0.60, 0.12
cast5-cbc, 100M, 10M, 0.87, 0.63, 0.09
cast5-cfb, 100M, 10M, 1.00, 0.77, 0.12
cast5-ecb, 100M, 10M, 0.84, 0.60, 0.09
cast5-ofb, 100M, 10M, 0.95, 0.62, 0.10
des, 100M, 10M, 1.31, 1.09, 0.06
des-cbc, 100M, 10M, 1.28, 1.08, 0.09
des-cfb, 100M, 10M, 1.43, 1.24, 0.08
des-ecb, 100M, 10M, 1.21, 1.01, 0.11
des-ede, 100M, 10M, 3.10, 2.84, 0.14
des-ede-cbc, 100M, 10M, 3.06, 2.80, 0.14
des-ede-cfb, 100M, 10M, 3.19, 3.00, 0.09
des-ede-ofb, 100M, 10M, 2.99, 2.82, 0.09
des-ede3, 100M, 10M, 2.99, 2.80, 0.06
des-ede3-cbc, 100M, 10M, 3.00, 2.73, 0.13
des-ede3-cfb, 100M, 10M, 3.16, 2.92, 0.10
des-ede3-ofb, 100M, 10M, 3.12, 2.73, 0.14
des-ofb, 100M, 10M, 1.28, 1.05, 0.09
des3, 100M, 10M, 2.99, 2.72, 0.15
desx, 100M, 10M, 1.25, 1.04, 0.11
rc2, 100M, 10M, 1.84, 1.55, 0.10
rc2-40-cbc, 100M, 10M, 1.75, 1.54, 0.11
rc2-64-cbc, 100M, 10M, 1.87, 1.58, 0.07
rc2-cbc, 100M, 10M, 1.83, 1.58, 0.06
rc2-cfb, 100M, 10M, 1.90, 1.62, 0.17
rc2-ecb, 100M, 10M, 1.80, 1.53, 0.14
rc2-ofb, 100M, 10M, 1.74, 1.46, 0.14
rc4, 100M, 10M, 0.38, 0.15, 0.09
rc4-40, 100M, 10M, 0.40, 0.18, 0.06
seed, 100M, 10M, 1.10, 0.85, 0.09
seed-cbc, 100M, 10M, 1.10, 0.86, 0.08
seed-cfb, 100M, 10M, 1.09, 0.82, 0.12
seed-ecb, 100M, 10M, 1.07, 0.79, 0.12
seed-ofb, 100M, 10M, 1.09, 0.80, 0.12
sm4-cbc, 100M, 10M, 0.93, 0.64, 0.14
sm4-cfb, 100M, 10M, 0.94, 0.66, 0.13
sm4-ctr, 100M, 10M, 0.99, 0.70, 0.11
sm4-ecb, 100M, 10M, 0.88, 0.55, 0.17
sm4-ofb, 100M, 10M, 0.91, 0.61, 0.14
aes-128-cbc, 100M, 100M, 0.33, 0.08, 0.08
aes-128-ecb, 100M, 100M, 0.28, 0.02, 0.09
aes-192-cbc, 100M, 100M, 0.34, 0.08, 0.08
aes-192-ecb, 100M, 100M, 0.28, 0.03, 0.08
aes-256-cbc, 100M, 100M, 0.33, 0.09, 0.09
aes-256-ecb, 100M, 100M, 0.26, 0.03, 0.08
aria-128-cbc, 100M, 100M, 0.94, 0.56, 0.10
aria-128-cfb, 100M, 100M, 0.83, 0.59, 0.08
aria-128-cfb1, 100M, 100M, 89.63, 87.34, 0.28
aria-128-cfb8, 100M, 100M, 9.71, 9.47, 0.11
aria-128-ctr, 100M, 100M, 0.88, 0.61, 0.15
aria-128-ecb, 100M, 100M, 0.80, 0.56, 0.10
aria-128-ofb, 100M, 100M, 0.78, 0.54, 0.13
aria-192-cbc, 100M, 100M, 0.88, 0.68, 0.10
aria-192-cfb, 100M, 100M, 0.89, 0.64, 0.14
aria-192-cfb1, 100M, 100M, 99.10, 98.40, 0.24
aria-192-cfb8, 100M, 100M, 11.08, 10.76, 0.14
aria-192-ctr, 100M, 100M, 0.92, 0.72, 0.06
aria-192-ecb, 100M, 100M, 0.88, 0.60, 0.13
aria-192-ofb, 100M, 100M, 0.89, 0.65, 0.09
aria-256-cbc, 100M, 100M, 1.03, 0.75, 0.10
aria-256-cfb, 100M, 100M, 1.03, 0.77, 0.08
aria-256-cfb1, 100M, 100M, 108.84, 108.49, 0.14
aria-256-cfb8, 100M, 100M, 12.26, 12.00, 0.13
aria-256-ctr, 100M, 100M, 0.99, 0.77, 0.10
aria-256-ecb, 100M, 100M, 0.92, 0.72, 0.11
aria-256-ofb, 100M, 100M, 0.95, 0.76, 0.08
base64, 100M, 100M, 0.34, 0.08, 0.13
bf, 100M, 100M, 0.79, 0.59, 0.11
bf-cbc, 100M, 100M, 0.80, 0.59, 0.10
bf-cfb, 100M, 100M, 0.90, 0.67, 0.12
bf-ecb, 100M, 100M, 0.89, 0.52, 0.11
bf-ofb, 100M, 100M, 0.97, 0.60, 0.06
camellia-128-cbc, 100M, 100M, 0.64, 0.42, 0.09
camellia-128-ecb, 100M, 100M, 0.70, 0.42, 0.12
camellia-192-cbc, 100M, 100M, 0.82, 0.58, 0.08
camellia-192-ecb, 100M, 100M, 0.83, 0.58, 0.09
camellia-256-cbc, 100M, 100M, 0.78, 0.55, 0.11
camellia-256-ecb, 100M, 100M, 0.83, 0.61, 0.09
cast, 100M, 100M, 0.91, 0.68, 0.06
cast-cbc, 100M, 100M, 0.98, 0.62, 0.12
cast5-cbc, 100M, 100M, 0.86, 0.62, 0.11
cast5-cfb, 100M, 100M, 1.08, 0.83, 0.09
cast5-ecb, 100M, 100M, 0.88, 0.64, 0.07
cast5-ofb, 100M, 100M, 0.92, 0.61, 0.14
des, 100M, 100M, 1.34, 1.07, 0.10
des-cbc, 100M, 100M, 1.33, 1.07, 0.09
des-cfb, 100M, 100M, 1.48, 1.19, 0.13
des-ecb, 100M, 100M, 1.28, 1.00, 0.13
des-ede, 100M, 100M, 3.34, 2.86, 0.09
des-ede-cbc, 100M, 100M, 3.06, 2.85, 0.07
des-ede-cfb, 100M, 100M, 3.23, 2.99, 0.11
des-ede-ofb, 100M, 100M, 3.05, 2.86, 0.10
des-ede3, 100M, 100M, 3.00, 2.81, 0.08
des-ede3-cbc, 100M, 100M, 3.23, 2.97, 0.14
des-ede3-cfb, 100M, 100M, 3.22, 3.03, 0.09
des-ede3-ofb, 100M, 100M, 3.12, 2.91, 0.08
des-ofb, 100M, 100M, 1.50, 1.10, 0.10
des3, 100M, 100M, 3.11, 2.88, 0.11
desx, 100M, 100M, 1.33, 1.12, 0.08
rc2, 100M, 100M, 1.78, 1.59, 0.08
rc2-40-cbc, 100M, 100M, 1.80, 1.57, 0.11
rc2-64-cbc, 100M, 100M, 1.80, 1.55, 0.14
rc2-cbc, 100M, 100M, 1.78, 1.57, 0.09
rc2-cfb, 100M, 100M, 1.89, 1.70, 0.08
rc2-ecb, 100M, 100M, 1.76, 1.55, 0.11
rc2-ofb, 100M, 100M, 1.73, 1.53, 0.09
rc4, 100M, 100M, 0.37, 0.15, 0.10
rc4-40, 100M, 100M, 0.44, 0.15, 0.10
seed, 100M, 100M, 1.11, 0.88, 0.07
seed-cbc, 100M, 100M, 1.10, 0.87, 0.11
seed-cfb, 100M, 100M, 1.15, 0.89, 0.11
seed-ecb, 100M, 100M, 1.10, 0.78, 0.15
seed-ofb, 100M, 100M, 1.13, 0.83, 0.12
sm4-cbc, 100M, 100M, 0.99, 0.68, 0.11
sm4-cfb, 100M, 100M, 0.96, 0.68, 0.13
sm4-ctr, 100M, 100M, 0.97, 0.71, 0.11
sm4-ecb, 100M, 100M, 0.89, 0.63, 0.12
sm4-ofb, 100M, 100M, 0.87, 0.63, 0.14
